,IDENTIFIANT,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
136,18P121,3.05,1455,369,44,28,2200,1675,244,85,11525,17,157,3,109,2485.0,9,372
137,18P122,3.6500001,1447,287,72,31,2291,1700,98,13,11570,15,124,3,100,2580.0,6,342
138,18P123,3.9000001,1444,287,72,31,2291,1700,98,13,11570,15,124,3,100,2580.0,6,342
139,18P124,3.8499999,1443,304,62,32,2354,1637,102,24,11544,16,139,3,77,2517.0,14,374
140,18P125,3.8499999,1443,297,46,31,2257,1700,127,59,11467,15,132,2,89,2397.0,11,348
141,18P126,3.05,1440,388,41,31,2199,1654,163,72,11536,20,156,4,115,2487.0,8,376
142,18P127,4.0999999,1438,304,62,32,2354,1637,102,24,11544,16,139,3,77,2517.0,14,374
143,18P128,3.1500001,1434,388,41,31,2199,1654,163,72,11536,20,156,4,115,2487.0,8,376
144,18P129,3.8499999,1430,297,46,31,2257,1700,127,59,11467,15,132,2,89,2397.0,11,348
145,18P130,3.8499999,1430,297,46,31,2257,1700,127,59,11467,15,132,2,89,2397.0,11,348
146,18P131,3.8499999,1430,297,46,31,2257,1700,127,59,11467,15,132,2,89,2397.0,11,348
147,18P132,3.05,1429,265,69,2,855,1905,66,5,18573,13,120,7,110,2548.0,18,16
148,18P133,3.45,1426,297,46,31,2257,1700,127,59,11467,15,132,2,89,2397.0,11,348
149,18P134,4.0500002,1425,332,52,31,2210,1667,149,62,11547,19,139,2,91,2530.0,13,385
150,18P135,3.9000001,1424,443,57,32,2380,1660,90,98,11694,22,130,3,91,2537.0,9,405
151,18P136,3.9000001,1424,443,57,32,2380,1660,90,98,11694,22,130,3,91,2537.0,9,405
152,18P137,3.9000001,1424,332,52,31,2210,1667,149,62,11547,19,139,2,91,2530.0,13,385
153,18P138,3.9000001,1424,409,54,34,2344,1636,127,47,11688,21,139,3,104,2523.0,16,362
154,18P139,4.75,1406,410,25,0,678,314,141,58,6744,24,134,435,157,93.0,91,9
155,18P140,4.75,1406,410,25,0,678,314,141,58,6744,24,134,435,157,93.0,91,9
156,18P141,4.8499999,1376,369,51,0,688,324,112,74,7017,25,127,417,138,90.0,52,10
157,18P142,4.0500002,1404,287,72,31,2291,1700,98,13,11570,15,124,3,100,2580.0,6,342
158,18P143,4.0500002,1404,285,67,32,2228,1649,116,111,11456,15,132,2,139,2453.0,8,329
159,18P144,3.1500001,1419,362,54,30,2241,1679,114,64,11445,21,128,3,111,2458.0,11,384
160,18P145,3.1500001,1419,362,54,30,2241,1679,114,64,11445,21,128,3,111,2458.0,11,384
161,18P146,3.1500001,1393,314,58,30,2219,1714,61,5,11651,4,124,2,106,2535.0,7,371
162,18P147,3.1500001,1393,314,58,30,2219,1714,61,5,11651,4,124,2,106,2535.0,7,371
163,18P148,4.0500002,1366,363,59,31,2214,1649,115,22,11589,21,131,4,84,2536.0,8,382
164,18P149,4.0500002,1366,363,59,31,2214,1649,115,22,11589,21,131,4,84,2536.0,8,382
165,18P150,3.6500001,1358,302,40,32,2360,1688,171,53,11660,25,162,3,100,2566.0,8,367
166,18P151,3.6500001,1358,302,40,32,2360,1688,171,53,11660,25,162,3,100,2566.0,8,367
167,18P152,4.0999999,1345,460,39,28,2184,1693,126,39,11254,26,123,4,130,2504.0,20,382
168,18P153,3.45,1343,285,67,32,2228,1649,116,111,11456,15,132,2,139,2453.0,8,329
169,18P154,3.45,1343,362,54,30,2241,1679,114,64,11445,21,128,3,111,2458.0,11,384
170,18P155,3.45,1343,362,54,30,2241,1679,114,64,11445,21,128,3,111,2458.0,11,384
171,18P156,3.6500001,1339,318,52,27,2265,1659,166,20,11272,15,127,3,137,2509.0,7,393
172,18P157,3.6500001,1306,346,51,33,2241,1698,138,48,11493,21,149,3,138,2513.0,8,375
173,18P158,2.6500001,1300,460,39,28,2184,1693,126,39,11254,26,123,4,130,2504.0,20,382
174,18P159,3.24,1295,498,24,8,16,363,203,59,9073,27,163,4,752,1927.0,126,402
175,18P160,3.3499999,1292,345,52,31,2288,1709,87,27,11462,21,147,3,86,2497.0,8,394
176,18P161,2.04,1282,496,41,0,722,255,159,16,3185,11,136,3,100,102.0,72,9
177,18P162,1.84,1275,340,43,0,717,240,60,9,3421,0,113,7,144,81.0,70,4
178,18P163,1.84,1275,340,43,0,717,240,60,9,3421,0,113,7,144,81.0,70,4
179,18P164,1.84,1275,281,49,0,693,251,77,80,3306,1,118,2,124,57.0,108,4
180,18P165,1.84,1275,340,43,0,717,240,60,9,3421,0,113,7,144,81.0,70,4
181,18P166,1.84,1275,340,43,0,717,240,60,9,3421,0,113,7,144,81.0,70,4
182,18P167,1.84,1275,214,57,0,683,249,67,25,3179,0,121,2,147,61.0,71,3
183,18P168,2.04,1275,370,36,1,810,170,260,0,3500,10,60,10,160,200.0,100,10
184,18P169,2.04,1275,250,41,0,750,180,270,10,3700,0,50,0,150,100.0,50,0
185,18P170,2.04,1275,538,46,0,676,266,102,54,3096,11,113,5,85,81.0,55,4
186,18P171,2.04,1275,480,46,0,676,164,76,6,3124,3,87,2,82,87.0,64,6
187,18P172,2.04,1275,290,42,2,680,240,310,65,3170,29,160,3,130,64.0,140,5
188,18P173,2.4400001,1260,608,19,0,12,266,131,51,948,11,121,0,80,36.0,67,440
189,18P174,4.0999999,1246,409,54,34,2344,1636,127,47,11688,21,139,3,104,2523.0,16,362
190,18P175,3.3499999,1240,308,36,32,2236,1800,356,43,11580,18,182,3,119,2541.0,12,346
191,18P176,3.25,1226,302,40,32,2360,1688,171,53,11660,25,162,3,100,2566.0,8,367
192,18P177,3.25,1226,327,69,28,2424,1652,100,42,11475,28,148,3,99,2427.0,7,382
193,18P178,3.3499999,1220,296,55,33,2275,1682,116,26,11510,15,130,9,111,2549.0,8,366
194,18P179,3.3499999,1220,347,56,29,2277,1682,76,47,11568,15,137,2,110,2454.0,8,389
195,18P180,3.3499999,1220,382,56,28,2209,1701,90,20,11519,17,132,2,89,2490.0,9,410
196,18P181,3.3499999,1220,382,56,28,2209,1701,90,20,11519,17,132,2,89,2490.0,9,410
197,18P182,3.3499999,1220,382,56,28,2209,1701,90,20,11519,17,132,2,89,2490.0,9,410
198,18P183,3.05,1218,304,62,32,2354,1637,102,24,11544,16,139,3,77,2517.0,14,374
199,18P184,3.05,1205,409,54,34,2344,1636,127,47,11688,21,139,3,104,2523.0,16,362
200,18P186,3.55,1178,347,56,29,2277,1682,76,47,11568,15,137,2,110,2454.0,8,389
201,18P187,3.55,1178,460,39,28,2184,1693,126,39,11254,26,123,4,130,2504.0,20,382
202,18P188,3.6500001,1167,291,66,3,882,1935,65,7,18905,20,122,8,124,2619.0,10,22
203,18P189,3.6500001,1153,308,36,32,2236,1800,356,43,11580,18,182,3,119,2541.0,12,346
204,18P190,3.55,1104,341,47,28,2314,1701,120,14,11965,21,133,3,114,2584.0,10,394
205,18P191,3.1500001,1114,335,57,29,2298,1633,229,112,11467,42,182,2,103,2474.0,10,407
206,18P192,4.25,1107,311,55,31,2300,1614,112,27,11580,13,125,2,133,2479.0,10,385
