product_id,mean,std,min,max,range,high_state_mean,low_state_mean,high_state_ratio,high_state_std,low_state_std,transition_point,transition_magnitude,trend_slope,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
18R008,88.34705937799998,371.2769900840014,-324.399,716.775,1041.174,430.54057481224487,-240.42710250980394,0.49,193.81610196442603,114.14369558357565,0.6133333333333333,114.038,-3.889716150689276,3.8399999,1276,386,43,0,377,327,372,161,1752,21,186,2,164,48.0,143,2
18R009,168.44069765000006,330.31636288109814,-233.762,705.899,939.6610000000001,395.2951616755319,-212.35072410714287,0.6266666666666667,186.33938010720283,44.031994286851706,1.0,0.0,-3.3583036278347533,3.6400001,1281,363,41,0,439,288,71,28,1893,2,122,12,146,68.0,72,4
18R010,167.94356766666667,337.2243775858647,-256.421,704.168,960.5889999999999,401.19571534391537,-229.21549459459465,0.63,177.04654388387664,53.763176161518906,0.63,69.9554,-3.3819149753886135,3.4400001,1315,493,69,0,282,364,254,60,2228,5,149,2,74,60.0,108,3
18R011,167.97431273333336,367.9098476181686,-297.043,712.573,1009.616,432.96615924731185,-264.38080526315787,0.62,174.56670678437027,64.02162378820441,0.2,67.64800000000002,-3.7659268750763917,2.74,1354,543,55,0,674,252,84,38,3101,14,104,3,127,78.0,93,6
18R012,175.94846700000005,350.0093502586302,-296.631,711.337,1007.968,410.4371872448979,-265.9725826923077,0.6533333333333333,162.8463482966474,59.98500240067202,0.19333333333333333,97.97100000000006,-3.4815372191691054,2.54,1353,616,48,0,726,245,231,18,3246,14,150,3,86,116.0,51,8
18R013,144.22190073333337,302.03786466381115,-226.593,717.105,943.698,359.9383255135135,-202.8001739130435,0.6166666666666667,158.33027074387903,42.58396495550813,0.6033333333333334,57.513400000000004,-3.06411748555873,2.8399999,1303,627,17,0,16,237,87,17,863,9,142,1,115,37.0,95,469
18R014,184.3774086666667,376.0382304223671,-289.874,719.989,1009.863,451.53745721925134,-257.7370079646018,0.6233333333333333,184.34830005516,68.42284241169567,0.6233333333333333,83.139,-3.9074761732019248,4.04,1281,477,29,6,15,470,117,30,4985,19,124,3,380,43.0,54,120
18R015,156.33872438666668,345.6132085628834,-251.807,703.592,955.399,409.2216574585635,-228.2983418823529,0.6033333333333334,186.54484539424269,47.90857840042726,0.6133333333333333,68.1427,-3.563141585501172,3.24,1281,347,27,4,18,241,54,7,3538,2,112,3,441,37.0,53,120
18R016,99.62342033333334,262.28247649853273,-178.39,596.64,775.03,322.17191585365856,-168.74388308823532,0.5466666666666666,126.60197651684645,16.96213743046141,0.5466666666666666,85.0341,-2.6784624376937534,2.24,1283,598,27,0,18,271,101,58,871,15,121,1,79,45.0,75,437
18R017,165.159031,347.41216827685946,-271.994,716.034,988.028,422.32870218579234,-237.0807111111111,0.61,157.8214211734092,67.05164902139937,0.20333333333333334,73.08600000000001,-3.544140460516228,2.24,1282,464,43,0,691,471,303,102,2942,22,152,2,171,88.0,108,6
18R018,148.82376470000003,345.24688064097745,-270.428,708.618,979.046,408.22799166666664,-240.28257575,0.6,164.8895441999703,64.29486784073,0.6,97.558595,-3.4129252309425664,2.24,1282,589,36,0,700,220,129,41,3155,8,105,2,77,78.0,61,5
18R019,147.68120819999996,342.8359503324737,-273.312,721.39,994.702,402.52515248618784,-239.93857260504205,0.6033333333333334,167.97970989054588,60.33459585155001,0.6133333333333333,91.21390000000001,-3.4239639367504067,2.24,1282,589,36,0,700,220,129,41,3155,8,105,2,77,78.0,61,5
18R020,122.65598466666665,292.92574207709987,-204.346,662.063,866.409,361.0655573964497,-184.91056335877866,0.5633333333333334,143.03586426261484,41.19777894115205,0.5133333333333333,80.667,-2.995937039433771,2.22,1270,310,32,34,290,460,140,17,2810,13,110,2,87,54.0,48,2
18R021,114.57141500000003,292.22858249153865,-201.709,664.123,865.8320000000001,356.05064011976043,-188.63934135338346,0.5566666666666666,144.62118875487235,26.99584537352146,0.5233333333333333,96.24,-2.971901216924633,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R022,110.54877681666667,290.0915801810588,-202.862,649.951,852.813,348.3052780838324,-187.98758191729323,0.5566666666666666,150.36202135182282,29.52218957609433,0.5466666666666666,74.734495,-2.9452105058622875,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R023,114.64176318666665,289.8919755717234,-203.934,656.296,860.23,346.25976209411766,-188.24331230769232,0.5666666666666667,152.84560870999277,32.10188842951108,0.056666666666666664,74.48700000000002,-2.9128474172219705,2.22,1270,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
18R024,113.92162499999996,295.16394360541943,-202.862,666.925,869.7869999999999,358.4581319277108,-189.01165970149256,0.5533333333333333,150.0979237627425,28.57273234055207,0.5533333333333333,84.2101,-3.0122572433693717,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R025,94.12886966666663,282.5821265085706,-266.72,579.007,845.727,312.82068156424583,-229.3904223140496,0.5966666666666667,107.55432718943831,70.2107919878567,0.6566666666666666,97.22899999999998,-2.8778515010389003,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R026,96.21414533333332,282.1547604932318,-268.368,586.175,854.5429999999999,308.8397922222222,-222.724325,0.6,123.31202813246001,78.72852544937028,0.6733333333333333,75.80600000000001,-2.847726765719619,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
18R027,118.39601433333334,289.39989490921704,-203.274,663.959,867.233,344.90417976878615,-190.15447874015751,0.5766666666666667,152.21794127047488,26.70885515530838,0.5766666666666667,72.8394,-2.9291199866887423,2.22,1270,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
18R028,94.99018533333332,292.21305705340933,-272.241,602.572,874.813,319.21640674157305,-232.15954754098362,0.5933333333333334,128.7585559387138,69.8313599155606,0.65,115.11,-2.9919948333648168,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R029,113.13033133333336,288.70952087852766,-201.379,655.719,857.0980000000001,350.9435275449101,-185.4772157894737,0.5566666666666666,144.53308600952317,33.82772062747177,0.6,79.596,-2.903063206302291,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R030,100.76189805333335,288.37969030455605,-266.968,599.194,866.162,323.7386107344633,-220.10702995121954,0.59,121.4762807561636,81.21311689843053,0.5966666666666667,100.9369,-2.9530062343732695,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R031,120.79133146666669,291.9141188465194,-202.862,658.932,861.794,352.21674350877197,-185.98188914728684,0.57,153.70501750251586,35.80729430461158,0.56,72.75692000000001,-2.9755283084123163,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
18R032,78.82691732666667,285.0886313103466,-270.511,580.737,851.248,303.03936011494255,-230.79978938095235,0.58,126.79079925460142,74.4904198842217,0.6366666666666667,80.99600000000001,-2.977403857018413,2.22,1270,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
18R033,110.59960766666669,295.5741752343218,-202.451,653.329,855.78,363.9977790123457,-186.86781086956523,0.54,144.2149924025421,34.18302493619555,0.57,63.61059999999999,-3.0153908400982243,2.22,1270,237,27,36,291,441,115,35,3037,10,119,2,113,57.0,89,3
18R034,117.19352766666668,295.27379086687716,-202.368,656.378,858.7460000000001,358.33757261904765,-189.717075,0.56,150.62834555988576,24.22092391944427,0.56,61.468500000000006,-3.025968242691586,2.22,1270,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
18R035,73.91239966666666,278.86923488537013,-271.005,563.516,834.521,294.255014450867,-226.23935118110236,0.5766666666666667,123.9000810232747,78.24305547566959,0.5766666666666667,79.3487,-2.928595095478837,2.22,1270,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
18R036,109.73306099999999,281.88349135528483,-205.499,653.0,858.499,338.07962426035505,-184.8514366412214,0.5633333333333334,142.40378494726986,36.26615719942303,0.49333333333333335,51.33299999999997,-2.8280909395659957,2.22,1270,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
18R037,44.600912593333305,267.3966396554163,-271.335,556.759,828.094,251.56320276300576,-237.32409685039372,0.5766666666666667,141.67486202657267,57.878524982765626,0.62,90.72,-2.792576665788285,2.22,1270,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
